feature,species,group_a,group_b,n_group_a,n_group_b,n_blocks,blocks,z,p_value,median_group_a,median_group_b,median_difference_a_minus_b,direction,comparison,test,blocking_variable,filter_sex,filter_condition,note,p_adj_BH,significant_FDR_0_05
rCLR_Coprococcus comes,Coprococcus comes,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.7156917386982826,0.4741817130602939,0.2103266732537738,0.3245352761049882,-0.11420860285121442,higher_in_Control,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,0.6934214896960842,0.48804508002935043,0.0,0.22919003913890995,-0.22919003913890995,higher_in_Control,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Parabacteroides merdae,Parabacteroides merdae,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.6891296558124035,0.49074167918792233,0.0,0.3640483813604267,-0.3640483813604267,higher_in_Control,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Veillonella atypica,Veillonella atypica,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.6700291755930775,0.5028391916823003,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Phascolarctobacterium faecium,Phascolarctobacterium faecium,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.667020525025891,0.504759023068895,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Bacteroides stercoris,Bacteroides stercoris,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,0.6594634487952185,0.5095982100202158,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Phocaeicola massiliensis,Phocaeicola massiliensis,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.6398177283864666,0.5222911055437782,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Methanobrevibacter smithii,Methanobrevibacter smithii,Adenoma,Control,182,401,4,FengQ_2015;HanniganGD_2017;YachidaS_2019;ZellerG_2014,0.593045082804542,0.5531509815424607,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Ruminococcus bromii,Ruminococcus bromii,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.5841331957680549,0.5591307025031609,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Alistipes inops,Alistipes inops,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,0.5713303410198541,0.5677757384080773,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
